NOME
Alìssiu
Ambrosu
Amsìcora
Anania
Andrianu
Andria
Ànghelu
Àngiulu
Antine
Antiogu
Antriocu
Antoni
Arduinu
Arrafiele
Aristeu
Atìliu
Austu
Austinu
Asile
Avendrace
Bainzu
Baìngiu
Bachis
Baleri
Balèriu
Bardili
Barisone
Barusone
Bàrtolu
Basili
Batista
Bennardu
Bertu
Beneitu
Biasu-Obray
Billia
Bibinu
Bissente
Pissente
Pissenti
Boicu
Boele
Boelle
Bonaentura
Bonàriu
Bonarinu
Bostare
Brotzu
Brunu
Buciano
Bustianu
Càrule
Càrolu
Càralu
Carolinu
Catoi
Chìrigu
Chìricu
Chirigheddu
Chiano
Cicciu
Cràudiu
Cràudi
Comita
Còsomo
Cosomeddu
Crabiele
Cràminu
Cristianu
Cristolu
Daddai
Dai
Demitri
Deonisi
Diunisi
Derrikor
Diegu
Domìnigu
Domìnicu
Dorveni
Efis
Elias
Emili
Erricu
Èture
Fergìliu
Felle
Fidele
Fidericu
Firmadu
Fitòriu
Frantziscu
Franciscu
Franchiscu
Gaine
Gavine
Gabinzu
Bainzu
Baìngiu
Gaitane
Gaitanu
Gàsparru
Gerone
Zerone
Geroni
Giàime
Giacu
Giagu
Jaku
Jagu
Yacu
Giorghi
Iroxi
Zorzi
Jorzi
Jolzi
Giose
Giosepe
Zosepe
Giosepu
Gisepu
Giròmine
Ziròmine
Giuanne
Juanne
Jubanne
Zuanne
Zubanne
Zuanni
Giuanni
Gonare
Gòsamu
Gosantine
Gosantinu
Bastantine
Gantine
Antinu
Gunnare
Gunnari
Gonare
Gratzianu
Grabiele
Crabiele
Hospiton
Ilia
Ilianu
Iloches
Enoches
Innàssiu
Innatziu
Iroxi
Iskemose
Istèvene
Istene
Istèvoni
Stévini
Stévuni
Ithoccor
Ithocor
Itzocor
Ithokorre
Ithor
Jolzi
Jorzi
Jostu
Jubanne
Giuanne
Giuanni
Zuanne
Zubanne
Jagu
Jaku
Giagu
Giacu
Giàime
Lallai
Laretu
Larentu
Larentzu
Lenardu
Nenaldu
Libòriu
Lillinu
Lisandru
Luca
Luisi
Luisu
Lussurzu
Lussùrgiu
Manuelle
Mantoi
Marcu
Mariane
Marianu
Marianeddu
Marinelo
Nélo
Martine
Martini
Màriu
Mateu
Matia
Maurìtziu
Màuru
Mertzioru
Micheli
Miale
Migheli
Micali
Miali
Milio
Millianu
Millanu
Miltzioro
Miminu
Mione
Mundinu
Mundicu
Arremundu
Murru
Nanghelu
Nastasi
Nàtziu
Nànsiu
Nàssiu
Nanni
Nanneddu
Neateddu
Nenneddu
Nicu
Nigola
Nicolau
Nino
Nunnusi
Oméo
Ongèniu
Onorau
Orzokor
Orzoko
Orzoco
Arsoko
Othocor
Pantaleu
Parasone
Pascale
Pàulu
Pedru
Predu
Perdu
Pedrupàulu
Pepallu
Pieru
Pera
Piane
Pianeddu
Pielle
Pìlimu
Pineddu
Pinutzu
Portolu
Popollu
Posporu
Potito
Pramèriu
Rafaelle
Boele
Boelle
Remundu
Arremundu
Roberu
Robertu
Arrobertu
Rocu
Arrocu
Sadurru
Salthar
Saltharu
Salùsio
Sandru
Santeddu
Santinu
Sarbadore
Sarbadori
Sevadore
Bobore
Badore
Doddore
Billoi
Biroe
Serbestianu
Bustianu
Segostianu
Segundinu
Serafinu
Serju
Sèrgiu
Servestru
Sirvestru
Serverinu
Sidore
Sidoru
Sìrbiu
Sisinni
Sustianu
Tadeu
Tanièle
Tanièbi
Tanièli
Tiadoru
Tigellia
Tilipu
Titinu
Tomasu
Thomas
Tomeu
Toninu
Therikor
Tericu
Thorbeni
Thorben
Torbèniu
Torbeno
Thorkitor
Tore
Totore
Totorinu
Totoi
Totoni
Trogodori
Umbertu
Ursare
Ursàriu
Vissente
Vixente
Bidaliu
Vitalio
Vitantonio
Vitontonio
Zacobbe
Zecheddu
Zeleste
Zelestinu
Zemu
Zesuinu
Zinu
Zineddu
Zirgolu
Ziròlamu
Zirònime
Zizi
Zizinu
Zizzu
Zitzeddu
Zommaria
Giommaria
Zorzi
Giorghi
Iroxi
Zuamarcu
Zuniari
Zenuari
Zusepe
Zosepe
Zosepeddu
Peppe
